"date","site","island","stratum","month_survey","s_year","s_month"
"2018-07-09","DI_WAT_1","DI","WAT","2018-07","2018","07"
"2018-07-09","DI_WAT_2","DI","WAT","2018-07","2018","07"
"2018-07-09","FC_SAV_1","FC","SAV","2018-07","2018","07"
"2018-07-09","FC_SAV_2","FC","SAV","2018-07","2018","07"
"2018-07-09","FC_WAT_1","FC","WAT","2018-07","2018","07"
"2018-07-09","FC_WAT_2","FC","WAT","2018-07","2018","07"
"2018-08-07","FI_SAV_1","FI","SAV","2018-08","2018","08"
"2018-08-07","FI_SAV_2","FI","SAV","2018-08","2018","08"
"2018-08-07","FI_WAT_1","FI","WAT","2018-08","2018","08"
"2018-08-07","FI_WAT_2","FI","WAT","2018-08","2018","08"
"2018-08-07","LH_SAV_1","LH","SAV","2018-08","2018","08"
"2018-08-07","LH_SAV_2","LH","SAV","2018-08","2018","08"
"2018-08-07","LH_WAT_1","LH","WAT","2018-08","2018","08"
"2018-08-07","LH_WAT_2","LH","WAT","2018-08","2018","08"
"2018-08-08","DI_SAV_1","DI","SAV","2018-08","2018","08"
"2018-08-08","DI_SAV_2","DI","SAV","2018-08","2018","08"
"2018-08-08","DI_WAT_1","DI","WAT","2018-08","2018","08"
"2018-08-08","DI_WAT_2","DI","WAT","2018-08","2018","08"
"2018-08-08","FC_SAV_1","FC","SAV","2018-08","2018","08"
"2018-08-08","FC_SAV_2","FC","SAV","2018-08","2018","08"
"2018-08-08","FC_WAT_1","FC","WAT","2018-08","2018","08"
"2018-08-08","FC_WAT_2","FC","WAT","2018-08","2018","08"
"2018-09-17","FI_SAV_1","FI","SAV","2018-09","2018","09"
"2018-09-17","FI_SAV_2","FI","SAV","2018-09","2018","09"
"2018-09-17","FI_WAT_1","FI","WAT","2018-09","2018","09"
"2018-09-17","FI_WAT_2","FI","WAT","2018-09","2018","09"
"2018-09-17","LH_SAV_1","LH","SAV","2018-09","2018","09"
"2018-09-17","LH_SAV_2","LH","SAV","2018-09","2018","09"
"2018-09-17","LH_WAT_1","LH","WAT","2018-09","2018","09"
"2018-09-17","LH_WAT_2","LH","WAT","2018-09","2018","09"
"2018-09-18","DI_SAV_1","DI","SAV","2018-09","2018","09"
"2018-09-18","DI_SAV_2","DI","SAV","2018-09","2018","09"
"2018-09-18","DI_WAT_1","DI","WAT","2018-09","2018","09"
"2018-09-18","DI_WAT_2","DI","WAT","2018-09","2018","09"
"2018-09-18","FC_SAV_1","FC","SAV","2018-09","2018","09"
"2018-09-18","FC_SAV_2","FC","SAV","2018-09","2018","09"
"2018-09-18","FC_WAT_1","FC","WAT","2018-09","2018","09"
"2018-09-18","FC_WAT_2","FC","WAT","2018-09","2018","09"
"2018-10-16","FI_SAV_1","FI","SAV","2018-10","2018","10"
"2018-10-16","FI_SAV_2","FI","SAV","2018-10","2018","10"
"2018-10-16","FI_WAT_1","FI","WAT","2018-10","2018","10"
"2018-10-16","FI_WAT_2","FI","WAT","2018-10","2018","10"
"2018-10-16","LH_SAV_1","LH","SAV","2018-10","2018","10"
"2018-10-16","LH_SAV_2","LH","SAV","2018-10","2018","10"
"2018-10-16","LH_WAT_1","LH","WAT","2018-10","2018","10"
"2018-10-16","LH_WAT_2","LH","WAT","2018-10","2018","10"
"2018-10-17","DI_SAV_1","DI","SAV","2018-10","2018","10"
"2018-10-17","DI_SAV_2","DI","SAV","2018-10","2018","10"
"2018-10-17","DI_WAT_1","DI","WAT","2018-10","2018","10"
"2018-10-17","DI_WAT_2","DI","WAT","2018-10","2018","10"
"2018-10-17","FC_SAV_1","FC","SAV","2018-10","2018","10"
"2018-10-17","FC_SAV_2","FC","SAV","2018-10","2018","10"
"2018-10-17","FC_WAT_1","FC","WAT","2018-10","2018","10"
"2018-10-17","FC_WAT_2","FC","WAT","2018-10","2018","10"
"2018-12-17","FI_SAV_1","FI","SAV","2018-12","2018","12"
"2018-12-17","FI_SAV_2","FI","SAV","2018-12","2018","12"
"2018-12-17","FI_WAT_1","FI","WAT","2018-12","2018","12"
"2018-12-17","FI_WAT_2","FI","WAT","2018-12","2018","12"
"2018-12-17","LH_SAV_1","LH","SAV","2018-12","2018","12"
"2018-12-17","LH_SAV_2","LH","SAV","2018-12","2018","12"
"2018-12-17","LH_WAT_1","LH","WAT","2018-12","2018","12"
"2018-12-17","LH_WAT_2","LH","WAT","2018-12","2018","12"
"2018-12-18","DI_SAV_1","DI","SAV","2018-12","2018","12"
"2018-12-18","DI_SAV_2","DI","SAV","2018-12","2018","12"
"2018-12-18","DI_WAT_1","DI","WAT","2018-12","2018","12"
"2018-12-18","DI_WAT_2","DI","WAT","2018-12","2018","12"
"2018-12-18","FC_SAV_1","FC","SAV","2018-12","2018","12"
"2018-12-18","FC_SAV_2","FC","SAV","2018-12","2018","12"
"2018-12-18","FC_WAT_1","FC","WAT","2018-12","2018","12"
"2018-12-18","FC_WAT_2","FC","WAT","2018-12","2018","12"
