genus,group,empire,kingdom,phylum,class,order,family
Eucapsis,Blue-green Algae,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae
Pseudanabaena,Blue-green Algae,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Pseudanabaenaceae
Cyanodictyon,Blue-green Algae,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae
Synechococcus,Blue-green Algae,Prokaryota,Eubacteria,Cyanobacteria,Cyanophyceae,Synechococcales,Synechococcaceae
Trachelomonas,Other,Eukaryota,Protozoa,Euglenozoa,Euglenophyceae,Euglenales ,Euglenaceae
Chrysochromulina,Other,Eukaryota,Chromista,Haptophyta,Coccolithophyceae,Prymnesiales,Chrysochromulinaceae
Gymnodinium,Other,Eukaryota,Chromista,Miozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae
Peridinium,Other,Eukaryota,Chromista,Miozoa,Dinophyceae,Peridiniales,Peridiniaceae
Ochromonas,Other,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Chromulinaceae
Chrysococcus,Other,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae
Kephyrion,Other,Eukaryota,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae
Amoeba,Other,Eukaryota,Amoebozoa,Tubulinea,Loboda, Tubulinida,Amoebidae
